team,season,abbreviation,w,playoffs,Team_Season,Total_Salary,Mean_Salary,Median_Salary,STD_Salary
Los Angeles Clippers,2015,LAC,56.0,True,LAC-2015,101900376,5095018.8,2258420.0,6412056.829751085
Los Angeles Lakers,2015,LAL,21.0,False,LAL-2015,71083322,3949073.4444444445,1031542.0,5793859.07257283
Memphis Grizzlies,2015,MEM,55.0,True,MEM-2015,102333904,4873043.047619048,3000000.0,5438925.81663128
Miami Heat,2015,MIA,37.0,False,MIA-2015,72166602,4009255.6666666665,1638423.0,5688175.835001153
Milwaukee Bucks,2015,MIL,41.0,True,MIL-2015,53112885,3540859.0,1987320.0,3271158.4705859176
Minnesota Timberwolves,2015,MIN,16.0,False,MIN-2015,70364693,3703404.8947368423,1971960.0,3570661.951298322
New Orleans Pelicans,2015,NOP,45.0,True,NOP-2015,82015338,4824431.647058823,981084.0,5340997.10112839
New York Knicks,2015,NYK,17.0,False,NYK-2015,69286926,3299377.4285714286,1250640.0,5236109.12373893
Oklahoma City Thunder,2015,OKC,45.0,False,OKC-2015,121375072,5517048.7272727275,2203184.5,6600625.3361729095
Orlando Magic,2015,ORL,25.0,False,ORL-2015,42635534,2507972.588235294,1887840.0,2056312.1440995424
Philadelphia 76ers,2015,PHI,18.0,False,PHI-2015,58336373,2333454.92,915243.0,2542034.4479309106
Portland Trail Blazers,2015,POR,51.0,True,POR-2015,95300478,4538118.0,3013512.0,4757492.863479923
Sacramento Kings,2015,SAC,29.0,False,SAC-2015,83890839,4934755.235294118,2745840.0,5908628.75965225
San Antonio Spurs,2015,SAS,55.0,True,SAS-2015,68582168,4286385.5,2883904.5,3846693.565074366
Toronto Raptors,2015,TOR,49.0,True,TOR-2015,76812627,4267368.166666667,3502297.5,3359220.435754863
Utah Jazz,2015,UTA,38.0,False,UTA-2015,71325761,3396464.8095238097,1290360.0,4564287.074316235
Washington Wizards,2015,WAS,46.0,True,WAS-2015,97440454,4429111.545454546,3407300.0,4410259.540610191
Atlanta Hawks,2014,ATL,38.0,True,ATL-2014,71512852,4469553.25,3278772.5,3865530.1312859966
Boston Celtics,2014,BOS,25.0,False,BOS-2014,63020331,4847717.769230769,2511432.0,4498884.178830701
Charlotte Bobcats,2014,CHA,43.0,True,CHA-2014,51281580,3016563.529411765,2568360.0,3319329.666251458
Chicago Bulls,2014,CHI,48.0,True,CHI-2014,62931596,4840892.0,1409040.0,6133506.156742393
Cleveland Cavaliers,2014,CLE,33.0,False,CLE-2014,59463984,4247427.428571428,3572120.0,3790376.7449440397
Dallas Mavericks,2014,DAL,49.0,True,DAL-2014,67279965,4485331.0,2652000.0,5812329.488388283
Denver Nuggets,2014,DEN,36.0,False,DEN-2014,51007596,4250633.0,3115841.5,3468235.2920966228
Detroit Pistons,2014,DET,29.0,False,DET-2014,61900253,4126683.533333333,2653080.0,3787284.1565951766
Golden State Warriors,2014,GSW,51.0,True,GSW-2014,66621552,5124734.769230769,2317920.0,5384826.076465502
Houston Rockets,2014,HOU,54.0,True,HOU-2014,61240347,3402241.5,937203.5,5696184.3125709435
Indiana Pacers,2014,IND,56.0,True,IND-2014,56110617,4316201.307692308,3000000.0,4426568.207969134
Los Angeles Clippers,2014,LAC,57.0,True,LAC-2014,74627321,5330522.928571428,3250000.0,5938338.293008451
Los Angeles Lakers,2014,LAL,27.0,False,LAL-2014,78858550,4928659.375,1158511.0,8345916.728650395
Memphis Grizzlies,2014,MEM,50.0,True,MEM-2014,74496910,4656056.875,3067500.0,5275479.404291871
Miami Heat,2014,MIA,54.0,True,MIA-2014,83359557,5954254.071428572,3249525.0,7128791.19205361
Milwaukee Bucks,2014,MIL,15.0,False,MIL-2014,37912949,3159412.4166666665,2349660.0,2709236.0442621745
Minnesota Timberwolves,2014,MIN,40.0,False,MIN-2014,62219204,4786092.615384615,3678358.0,4231216.537138887
New Orleans Pelicans,2014,NOP,34.0,False,NOP-2014,62215488,4147699.2,2339040.0,4677355.486156592
New York Knicks,2014,NYK,37.0,False,NYK-2014,88721729,5914781.933333334,1703760.0,7585334.130027369
Oklahoma City Thunder,2014,OKC,59.0,True,OKC-2014,68819607,5293815.923076923,2111160.0,6012617.289787251
Orlando Magic,2014,ORL,23.0,False,ORL-2014,20568125,2571015.625,1669680.0,2346575.372430454
Philadelphia 76ers,2014,PHI,19.0,False,PHI-2014,47997371,3199824.7333333334,1089240.0,4148824.0277922037
Portland Trail Blazers,2014,POR,54.0,True,POR-2014,65716292,3865664.2352941176,2652000.0,3902392.1160430964
Sacramento Kings,2014,SAC,28.0,False,SAC-2014,44002255,3384788.846153846,3000000.0,2609984.4671600643
San Antonio Spurs,2014,SAS,62.0,True,SAS-2014,62512385,3907024.0625,2318920.0,4040227.993502949
Toronto Raptors,2014,TOR,48.0,True,TOR-2014,86173164,4308658.2,3144151.0,4102416.108167935
Utah Jazz,2014,UTA,25.0,False,UTA-2014,47403155,3385939.6428571427,2320380.0,3045814.241120947
Washington Wizards,2014,WAS,44.0,True,WAS-2014,66159789,4410652.6,4278000.0,3471323.796944429
Atlanta Hawks,2013,ATL,44.0,True,ATL-2013,70710869,3535543.45,1824745.0,3813178.6175477696
Boston Celtics,2013,BOS,41.0,True,BOS-2013,75171056,4176169.777777778,1468860.0,4869187.258235216
Charlotte Bobcats,2013,CHA,21.0,False,CHA-2013,59114350,3477314.705882353,2750000.0,3176552.9833153016
Chicago Bulls,2013,CHI,45.0,True,CHI-2013,92245973,4855051.2105263155,1112880.0,5657037.40158849
Cleveland Cavaliers,2013,CLE,24.0,False,CLE-2013,50620600,2410504.761904762,1563120.0,2258173.5226072175
Dallas Mavericks,2013,DAL,41.0,False,DAL-2013,70463968,2609776.592592593,992680.0,4238485.319671607
Denver Nuggets,2013,DEN,57.0,True,DEN-2013,68815964,3127998.3636363638,1336320.0,3817986.341769061
Detroit Pistons,2013,DET,29.0,False,DET-2013,55771195,3485699.6875,2517480.0,3173423.8531045658
Golden State Warriors,2013,GSW,47.0,True,GSW-2013,79686708,3464639.4782608696,1020960.0,4004051.899399667
Houston Rockets,2013,HOU,45.0,True,HOU-2013,41633543,1982549.6666666667,1000000.0,2458944.096009674
Indiana Pacers,2013,IND,49.0,True,IND-2013,79858055,3802764.523809524,2574120.0,4171905.4928953466
Los Angeles Clippers,2013,LAC,56.0,True,LAC-2013,83552720,4177636.0,1721420.0,5251279.529110266
Los Angeles Lakers,2013,LAL,45.0,True,LAL-2013,85662232,5038954.823529412,854389.0,8146772.524539475
Memphis Grizzlies,2013,MEM,56.0,True,MEM-2013,99102304,3303410.1333333333,1267160.0,4568594.314267368
Miami Heat,2013,MIA,66.0,True,MIA-2013,108563737,4175528.346153846,1500000.0,5779836.376020968
Milwaukee Bucks,2013,MIL,38.0,True,MIL-2013,57496065,3194225.8333333335,1907520.0,3053833.1075932453
Minnesota Timberwolves,2013,MIN,31.0,False,MIN-2013,71640818,2865632.72,2090000.0,3185142.3792975815
New York Knicks,2013,NYK,54.0,True,NYK-2013,93150934,3326819.0714285714,854789.0,5333830.054086748
Oklahoma City Thunder,2013,OKC,60.0,True,OKC-2013,93410357,3892098.2083333335,1141260.0,5247820.7526279595
Orlando Magic,2013,ORL,20.0,False,ORL-2013,79578708,3183148.32,1500000.0,3294485.1176245245
Philadelphia 76ers,2013,PHI,34.0,False,PHI-2013,77560999,2872629.592592593,854389.0,3619966.4451372838
Portland Trail Blazers,2013,POR,33.0,False,POR-2013,57036502,2851825.1,1404300.0,3524600.8069246938
Sacramento Kings,2013,SAC,28.0,False,SAC-2013,76450174,2636212.896551724,2096760.0,2221855.1789174215
San Antonio Spurs,2013,SAS,58.0,True,SAS-2013,83391901,3625734.8260869565,1400000.0,4075933.939568325
Toronto Raptors,2013,TOR,34.0,False,TOR-2013,67399499,3369974.95,2569160.0,3081407.8494981797
Utah Jazz,2013,UTA,43.0,False,UTA-2013,69702782,3319180.095238095,2111160.0,3549371.8573570717
Washington Wizards,2013,WAS,29.0,False,WAS-2013,74027360,2741754.074074074,854389.0,3788839.400635492
Atlanta Hawks,2012,ATL,40.0,True,ATL-2012,78635057,4138687.210526316,854389.0,5214213.080529897
Boston Celtics,2012,BOS,39.0,True,BOS-2012,81087883,4504882.388888889,1438330.5,5950759.077077026
Charlotte Bobcats,2012,CHA,7.0,False,CHA-2012,50449243,2802735.722222222,2303460.0,2772193.1857096106
Chicago Bulls,2012,CHI,50.0,True,CHI-2012,78945774,3947288.7,1526590.0,4310215.604836616
Cleveland Cavaliers,2012,CLE,21.0,False,CLE-2012,47703068,2271574.6666666665,804131.0,3544262.3228970836
Dallas Mavericks,2012,DAL,36.0,True,DAL-2012,76247622,4235979.0,1054566.0,5351480.622830656
Denver Nuggets,2012,DEN,38.0,True,DEN-2012,54054799,3003044.388888889,2192117.5,2446373.104193085
Detroit Pistons,2012,DET,25.0,False,DET-2012,58868088,3924539.2,3007920.0,3317265.4547351883
Golden State Warriors,2012,GSW,23.0,False,GSW-2012,52057320,2478920.0,854389.0,3108950.2187631438
Houston Rockets,2012,HOU,34.0,False,HOU-2012,48870884,2874757.882352941,1823280.0,3308777.056362155
Indiana Pacers,2012,IND,42.0,True,IND-2012,52658055,3291128.4375,2272140.0,3452608.196946843
Los Angeles Clippers,2012,LAC,40.0,True,LAC-2012,82281543,3577458.3913043477,1596360.0,4226773.342305589
Los Angeles Lakers,2012,LAL,41.0,True,LAL-2012,94601478,4979025.157894737,1906200.0,6995539.424133712
Memphis Grizzlies,2012,MEM,41.0,True,MEM-2012,77044156,3502007.090909091,1169275.0,4764235.340636292
Miami Heat,2012,MIA,46.0,True,MIA-2012,90746493,4321261.571428572,1500000.0,5620274.4748611655
Milwaukee Bucks,2012,MIL,31.0,False,MIL-2012,69516077,3475803.85,2517360.0,3312396.3095897376
Minnesota Timberwolves,2012,MIN,26.0,False,MIN-2012,78695152,3747388.1904761903,3680000.0,3118366.7499685413
New York Knicks,2012,NYK,36.0,True,NYK-2012,78479180,3412138.2608695654,854389.0,5513781.479527279
Oklahoma City Thunder,2012,OKC,47.0,True,OKC-2012,66553231,3169201.476190476,2286000.0,3458792.4021499986
Orlando Magic,2012,ORL,37.0,True,ORL-2012,73194712,3852353.263157895,2062800.0,4636907.143874949
Philadelphia 76ers,2012,PHI,35.0,True,PHI-2012,95081435,5004286.052631579,2674852.0,5808063.423179063
Portland Trail Blazers,2012,POR,28.0,False,POR-2012,74547114,3727355.7,1667580.0,4063810.751627255
Sacramento Kings,2012,SAC,22.0,False,SAC-2012,56954893,2588858.772727273,1267551.5,2419141.4420350306
San Antonio Spurs,2012,SAS,50.0,True,SAS-2012,88059733,3828684.0434782607,1059750.0,5393331.242797488
Toronto Raptors,2012,TOR,23.0,False,TOR-2012,63601799,3180089.95,2353520.0,3091972.489914292
Utah Jazz,2012,UTA,36.0,True,UTA-2012,64191304,3378489.6842105263,2111160.0,3814636.248633676
Washington Wizards,2012,WAS,20.0,False,WAS-2012,68361151,2972223.9565217393,1120440.0,4898080.584453015
Atlanta Hawks,2011,ATL,44.0,True,ATL-2011,66873531,4776680.785714285,2864045.0,5067231.070770159
Boston Celtics,2011,BOS,56.0,True,BOS-2011,69886016,5375847.384615385,2388000.0,5850349.525374083
Charlotte Bobcats,2011,CHA,34.0,False,CHA-2011,76254379,3631160.904761905,2540000.0,3414345.480964806
Chicago Bulls,2011,CHI,62.0,True,CHI-2011,71371025,3756369.736842105,1800000.0,3860373.988696574
Cleveland Cavaliers,2011,CLE,19.0,False,CLE-2011,43642615,2727663.4375,1279154.5,3416830.831504148
Dallas Mavericks,2011,DAL,57.0,True,DAL-2011,95448138,5965508.625,5525893.0,5334284.171217301
Denver Nuggets,2011,DEN,50.0,True,DEN-2011,53415509,3815393.5,1269620.0,4871317.610111359
Detroit Pistons,2011,DET,30.0,False,DET-2011,64520650,4608617.857142857,2899020.0,4100617.082743652
Golden State Warriors,2011,GSW,36.0,False,GSW-2011,60622481,3367915.611111111,1739860.0,3620269.0946890563
Houston Rockets,2011,HOU,43.0,False,HOU-2011,59565763,4254697.357142857,2017650.0,4880837.608832928
Indiana Pacers,2011,IND,37.0,True,IND-2011,59588621,3972574.7333333334,2069040.0,3696483.324670209
Los Angeles Clippers,2011,LAC,32.0,False,LAC-2011,79049723,3593169.227272727,2350000.0,3984017.2742397296
Los Angeles Lakers,2011,LAL,57.0,True,LAL-2011,90263787,6447413.357142857,3850000.0,7404551.273954913
Memphis Grizzlies,2011,MEM,46.0,True,MEM-2011,75099987,3413635.772727273,1361840.0,4438434.46277994
Miami Heat,2011,MIA,58.0,True,MIA-2011,80118940,4005947.0,1249259.0,4966666.657901709
Milwaukee Bucks,2011,MIL,35.0,False,MIL-2011,71141373,3952298.5,1905980.0,4853144.175377676
Minnesota Timberwolves,2011,MIN,17.0,False,MIN-2011,49858629,2932860.529411765,3192000.0,1429872.975657196
New York Knicks,2011,NYK,42.0,True,NYK-2011,86351434,3754410.1739130435,1400000.0,5059054.003325736
Oklahoma City Thunder,2011,OKC,55.0,True,OKC-2011,70110119,3690006.263157895,3250000.0,3110577.2753491313
Orlando Magic,2011,ORL,52.0,True,ORL-2011,45788409,5087601.0,3500000.0,4974041.235008411
Philadelphia 76ers,2011,PHI,41.0,True,PHI-2011,69068140,4604542.666666667,2974320.0,4440104.663645871
Portland Trail Blazers,2011,POR,48.0,True,POR-2011,57856058,3616003.625,1066977.5,4727334.679239002
Sacramento Kings,2011,SAC,24.0,False,SAC-2011,48725207,2436260.35,854789.0,3107496.8290891605
San Antonio Spurs,2011,SAS,61.0,True,SAS-2011,76186019,3809300.95,886594.5,5263290.440005703
Toronto Raptors,2011,TOR,22.0,False,TOR-2011,69219621,3146346.409090909,2373240.0,2643951.376740802
Utah Jazz,2011,UTA,39.0,False,UTA-2011,93083446,4654172.3,1868785.0,5459489.189585569
Washington Wizards,2011,WAS,23.0,False,WAS-2011,82833991,3067925.592592593,1030189.0,4960100.883773119
Atlanta Hawks,2010,ATL,53.0,True,ATL-2010,71574424,4473401.5,3403820.0,4345864.786348895
Boston Celtics,2010,BOS,50.0,True,BOS-2010,80022013,5715858.071428572,2750002.0,7058553.176233046
Charlotte Bobcats,2010,CHA,44.0,True,CHA-2010,85225040,4261252.0,3559139.0,3450435.17815574
Chicago Bulls,2010,CHI,41.0,True,CHI-2010,59099343,3476431.9411764704,1594080.0,3856124.694113484
Cleveland Cavaliers,2010,CLE,61.0,True,CLE-2010,70393926,5414917.384615385,3000000.0,6344364.37683895
Dallas Mavericks,2010,DAL,55.0,True,DAL-2010,63979719,7108857.666666667,6635068.0,6149166.530928195
